file_name;label
\garduna\Garduña_PNC_2014_JC\c9282IM000038.JPG;1
\humanovehiculo\humano_vehiculo_PNM_2013-O_ISAAC\f3503IMAG0386.JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0141.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (19030).JPG;0
\gato_domestico\gato_WellingtonCameraTraps_SS\28111512492603592543.JPG;1
\cervidae\ciervo_PNM_2013-O_ISAAC\f28723IMAG0307.JPG;1
\caballo\HORSE_ZOO_5_6_7_9\15_20210219 (8651) (2021_04_15 06_16_22 UTC).JPG;1
\ave\raven_IslandConservationCameraTraps\dominicanrepublic_cam2416marzo2016_20160226_080448_img_0033.jpg;1
\vacia\vacia_Paco_Carro_JC\01070259.JPG;0
\vacia\empty_SnapshotCamdeboo\CDB_S1_C04_R2_IMAG0134.JPG;0
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\596d6278-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\empty_caltechCameraTraps\5a1e5208-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\NOANIMAL_ZOO_1_4\18_20210115 (711).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0969.JPG;0
\vacia\empty_SnapshotKaroo\KAR_S1_E02_R1_IMAG1330.JPG;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a36000IM000129.JPG;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a44054IM000866.JPG;0
\vacia\vacias_ME_CASA\IMG_0503.JPG;0
\vaca\COW_ZOO_1_4\21_20201217 (2071).JPG;1
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b14173IM000423.JPG;1
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (5110).JPG;0
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b7564IM000138.JPG;1
\vaca\COW_ZOO_5_6_7_9\9_20210615 (2079).JPG;1
\vacia\vacia_alumno_TH_3_TH_JC\30_20201021 (13135).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2015abril2015_20150416_160540_img_5819.jpg;0
\humanovehiculo\humanos_Paco_Carro_JC\IMG_0952.JPG;1
\ave\short-eared_owl_IslandConservationCameraTraps\ecuador2_ic1604_20181030_032245_img_0094.jpg;1
\vacia\vacia_alumno_1_TH\Nada (46)_frame080.jpg;0
\gato_domestico\gato_WellingtonCameraTraps_SS\120916044702043b7393.JPG;1
\jabali\jabali_vacías_humanos_PNC_2012_ME\a35174IM000030.JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG1519.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (14619).JPG;0
\vacia\Nothing_mammalWeb\34959.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150702_111140_img_0899.jpg;0
\ave\shearwater_IslandConservationCameraTraps\chile_piedra012013_0401201303921.jpg;1
\vacia\NOANIMAL_ZOO_1_4\15_20201024 (3332).JPG;0
\zorro\zorro_alumno_2_AM_JC\DSCF0096_frame010.jpg;1
\zorro\zorro_PNC_2012_JC\a172IM000034.JPG;1
\cervidae\ciervo_Paco_Carro_JC\MDGC0521.JPG;1
\vacia\empty_caltechCameraTraps\59ffbbb5-23d2-11e8-a6a3-ec086b02610b.jpg;0
\ave\birdother_SnapshotCamdeboo\CDB_S1_C07_R1_IMAG1544.JPG;1
\humanovehiculo\humanovehiculo_vacías_humanos_PNC_2012_ME\a35679IMAG0003.JPG;1
\humanovehiculo\humanovehiculo_vacías_humanos_PNC_2012_ME\a6720IM000001.JPG;1
\vaca\cow_CaltechCameraTrap\58e0f4e9-23d2-11e8-a6a3-ec086b02610b.jpg;1
\humanovehiculo\humano_vehiculo_PNC_2013-I_ISAAC\1292IM000011.JPG;1
\lince\Lince_a_Linces2_Leo_JC\lince94 (139).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\40_20201117 (828).JPG;1
\zorro\zorro_PNC_2013-I_RED_ME\4594IM000033.JPG;1
\caballo\Horse_mammalWeb\43173.jpg;1
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (15051).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG0079.JPG;0
