file_name;label
\cervidae\ciervo_vacías_humanos_PNC_2012_ME\a20102IM000233.JPG;1
\vacia\empty_IslandConservationCameraTraps\puertorico_16_20141223_184519_img_0149.jpg;0
\cervidae\3_ciervo_simone_2\34_20201024 (5721).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\19_20210319 (2024).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\10_20210319 (5012).JPG;1
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (2445).JPG;0
\vacia\empty_caltechCameraTraps\59ef8efb-23d2-11e8-a6a3-ec086b02610b.jpg;0
\zorro\zorro_PNC_2012_JC\a28788IM000077.JPG;1
\ave\Chicken_ena24\5879.jpg;1
\ave\Ave_Leo_Otra_fauna_PASADA_POR_LA_RED_JC\Otrafauna (10).jpg;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam09_cam09june2019_20190622160107_rcnx0651.jpg;1
\lince\linces_fecha_Linces2_Leo_JC\2_Lince_flecha_Linces2_Leo_JC\lince204 (23).JPG;1
\ave\raven_IslandConservationCameraTraps\dominicanrepublic_cam0117abril2015_20130828_085301_sunp0084.jpg;1
\lince\Lince_a_Linces2_Leo_JC\Lince51 (111).JPG;1
\caballo\HORSE_ZOO_1_4\2_20201117 (4586).JPG;1
\vacia\NOANIMAL_ZOO_1_4\29_20201117 (1143).JPG;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (3249).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1015febrero2016_20160120_132701_img_0012.jpg;0
\leporido\rabbit_IslandConservationCameraTraps\chile_frances012013_10012013153647.jpg;1
\vacia\Nothing_mammalWeb\9475.jpg;0
\vaca\COW_ZOO_5_6_7_9\9_20210615 (1641).JPG;1
\ave\ave_ave_WellingtonCameraTraps_SS\080816142308023a6241.JPG;1
\ave\ave_vacías_humanos_PNC_2012_ME\a19195IM000328.JPG;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam02april2019_20190411_221445_rcnx0013.jpg;1
\vacia\NOANIMAL_ZOO_1_4\35_20201218 (998).JPG;0
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam06_cam06june2019_pig_20190629195145_1937.jpg;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150717_095858_img_2733.jpg;0
\vaca\COW_ZOO_5_6_7_9\21_20210418 (4209).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (5088).JPG;1
\vacia\empty_caltechCameraTraps\598de926-23d2-11e8-a6a3-ec086b02610b.jpg;0
\perro\dog_caltechCameraTraps\5998cd14-23d2-11e8-a6a3-ec086b02610b.jpg;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam17april2019_20190412_040231_rcnx0176.jpg;1
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (2730).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\22_20210318 (95).JPG;0
\leporido\Rabbit_mammalWeb\6403.jpg;1
\zorro\zorro_PNC_2012_JC\a19696IM000363.JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0097.JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0725abril2015a_20130813_075941_sunp5295.jpg;0
\vacia\empty_IslandConservationCameraTraps\palau_cam6a12132018_20180822_123939_rcnx0058.jpg;0
\humanovehiculo\humanovehiculo_PNC_2014_manuel\c5596IM000001.JPG;1
\vacia\vacia_ave_WellingtonCameraTraps_SS\0206151404120244S413.JPG;0
\gineta\Gineta_ME\f3567IM000030.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\15_20210219 (5707) (2021_04_15 06_16_22 UTC).JPG;1
\jabali\WILDBOAR_ZOO_1_4\31_20201117 (559).JPG;1
\humanovehiculo\humano_vehiculo_PNC_2013-I_ISAAC\6355IMAG0010.JPG;1
\mapache\raccoon_CaltechCameraTrap_ME\594cecb8-23d2-11e8-a6a3-ec086b02610b.jpg;1
\ave\ave_PNC_2013-O_RED_ISAAC\b4522IMAG0401.JPG;1
\leporido\conejo_leo_donana\0006828.JPG;1
\cervidae\deer_CaltechCameraTrap\5a2e13c3-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\10_20201117 (7150).JPG;0
\vacia\empty_caltechCameraTraps\59d752fa-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\32_20210615 (799).JPG;0
\leporido\Rabbit_mammalWeb\130691.jpg;1
\humanovehiculo\humanovehiculo_vacías_humanos_PNC_2012_ME\a23965IM000002.JPG;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam06_cam06june2019_pig_20190629193502_11140.jpg;1
\jabali\WILDBOAR_ZOO_1_4\20_20201215 (331).JPG;1
\jabali\jabali_javi_JC\41_20201025 (15).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\110816184544011a5902.JPG;1
\lince\Lince_a_Linces2_Leo_JC\lince125 (234).JPG;1
\vacia\vacias_PNC_2014_ISAAC\c9553IM000303.JPG;0
\vacia\vacia_alumno_2_AM\Orycun (10)_frame030.jpg;0
\tejon\tejon_alumno_2_AM_JC\DSCF0247_frame020.jpg;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\50_20210616 (12129).JPG;1
\vaca\COW_ZOO_1_4\15_20201024 (3048).JPG;1
\jabali\jabali_Saul Martin_FRAMES_SIN_REPETIDOS_REVISADOS_DIEGO\IMAG0020_frame460.jpg;1
\humanovehiculo\HUMANORVEHICLE_ZOO_5_6_7_9\18_20210219 (3016) (2021_04_15 06_16_22 UTC).JPG;1
\garduna\GARDUÑA_PNM_2013-I_ISAAC\e511IM000014.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\28_20210417 (134).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG1738.JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (1712).JPG;1
\vaca\COW_ZOO_1_4\21_20201217 (1609).JPG;1
\leporido\rabbit_CaltechCameraTrap_ME\597830d7-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vaca\vaca_buscar_cab_isaac_sin_contar\4_20201220 (9087).JPG;1
\cervidae\4_ciervo_simone_2\34_20201024 (5600).JPG;1
\vacia\SnampshotEnonkishu\ENO_S1_D06_R1_IMAG4574.JPG;0
\ave\bird_CaltechCameraTrap\592de415-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\SnampshotEnonkishu\ENO_S1_D03_R1_IMAG1677.JPG;0
\jabali\WILDBOAR_ZOO_1_4\7_20201118 (1862).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\211016182744023a9233.JPG;1
\jabali\jabali_PNM_2012_ISAAC\d15640IM000062.JPG;1
\vacia\empty_caltechCameraTraps\59be3f9b-23d2-11e8-a6a3-ec086b02610b.jpg;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\28_20210615 (1138).JPG;1
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a36691IM000258.JPG;0
\leporido\rabbit_IslandConservationCameraTraps\chile_vaqueria2013_0702201393921.jpg;1
\humanovehiculo\humanovehiculo_PNC_2014_manuel\c29097IM000067.JPG;1
\cervidae\Ciervo_PNC_2014_JC\c10135IM000020.JPG;1
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\58ac0ba8-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\vacia_Paco_Carro_JC\01110644.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG0679.JPG;0
\leporido\Lagomorpha2__diego_2_rev_donana\6_20201023 (2524).JPG;1
\jabali\WILDBOAR_ZOO_1_4\33_20201025 (178).JPG;1
\mapache\raccoon_CaltechCameraTrap_ME\59be4055-23d2-11e8-a6a3-ec086b02610b.jpg;1
\caballo\HORSE_ZOO_1_4\10_20201117 (1420).JPG;1
\lince\Lince_a_Linces2_Leo_JC\Lince52 (96).JPG;1
\cervidae\corzo_alumno_2_AM_JC\DSCF0184_frame136.jpg;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1125abril2015_20150412_162650_img_1115.jpg;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\5_20210219 (134) (2021_04_15 06_16_22 UTC).JPG;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam06_cam06june2019_pig_20190629195105_1947.jpg;1
\ave\ave_ave_WellingtonCameraTraps_SS\281016165500004c2392.JPG;1
\jabali\WILDBOAR_ZOO_5_6_7_9\31_20210219 (1346) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a5904IM000713.JPG;0
\vacia\vacia_alumno_AM_2\26_20201020 (679).JPG;0
\jabali\WILDBOAR_ZOO_1_4\37_20201116 (7968).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\3105151545240549S261.JPG;1
\cervidae\deer_CaltechCameraTrap\58dc4c95-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\empty_IslandConservationCameraTraps\palau_cam6a12132018_20180822_123856_rcnx0040.jpg;0
\jabali\WILDBOAR_ZOO_1_4\37_20201116 (5170).JPG;1
\vacia\vacia_Paco_Carro_JC\01130764.JPG;0
\leporido\rabbit_CaltechCameraTrap_ME\589cb32d-23d2-11e8-a6a3-ec086b02610b.jpg;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\36_20210618 (6916).JPG;1
\leporido\rabbit_IslandConservationCameraTraps\chile_frances012013_13012013154520.jpg;1
\zorro\REDFOX_ZOO_5_6_7_9\48_20210418 (59).JPG;1
\ave\OTHERSPECIES_ZOO_5_6_7_9\38_20210618 (865).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG1595.JPG;0
\jabali\WILDBOAR_ZOO_1_4\37_20201116 (9573).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\22091518201208305353.JPG;1
\gato_domestico\cat_CaltechCameraTrap\59782f98-23d2-11e8-a6a3-ec086b02610b.jpg;1
\leporido\rabbit_IslandConservationCameraTraps\chile_frances022013_06052013131114.jpg;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\39_20210417 (3222).JPG;1
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\5a217622-23d2-11e8-a6a3-ec086b02610b.jpg;1
\mapache\raccoon_CaltechCameraTrap_ME\5a1b15ed-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (10894).JPG;0
\lince\Lince_a_Linces2_Leo_JC\lince50 (108).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (3997).JPG;1
\cervidae\ciervo_PNC_2014_ISAAC\c29278IM000056.JPG;1
\zorro\Zorro_Pepe_IREC\Zorro_Pepe_Irec_ME\IMAG0222.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\31_20210318 (209).JPG;0
\zorro\Zorro_Pepe_IREC\Zorro_Pepe_Irec_ME\IMAG0263.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (23479).JPG;0
\gato_domestico\gato_WellingtonCameraTraps_SS\02111515083402375953.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130821_050352_sunp4035.jpg;0
\gineta\GINETA_PNM_2012_ISAAC\d2923IMAG0037.JPG;1
\vaca\cow_CaltechCameraTrap\589b018d-23d2-11e8-a6a3-ec086b02610b.jpg;1
\humanovehiculo\humanovehiculo_PNC_2013-O_RED_ISAAC\b5209IM000021.JPG;1
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\58ff0cfd-23d2-11e8-a6a3-ec086b02610b.jpg;1
\jabali\jabali_PNM_2013-O_ISAAC\f27562IMAG0115.JPG;1
\leporido\rabbit_IslandConservationCameraTraps\chile_piedra012013_07052013152953.jpg;1
\meloncillo\meloncillo_PNM_2013-I_ISAAC\e1172IMAG0054.JPG;1
\humanovehiculo\humano_vehiculo_PNC_2013-I_ISAAC\4368IMAG0340.JPG;1
\leporido\Conejo_PNM_2013-0_ME\f28158IMAG0729.JPG;1
\zorro\REDFOX_ZOO_1_4\21_20201025 (2856).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\47_20210418 (1452).JPG;1
\jabali\WILDBOAR_ZOO_1_4\11_20201217 (284).JPG;1
\jabali\jabali_PNC_2014_manuel\c11286IMAG0073.JPG;1
\jabali\WILDBOAR_ZOO_5_6_7_9\32_20210417 (10098).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\16101511104602678801.JPG;1
\cervidae\deer_CaltechCameraTrap\5a0b029b-23d2-11e8-a6a3-ec086b02610b.jpg;1
\gineta\gineta_Saul Martin_FRAMES_SIN_REPETIDOS_REVISADOS_DIEGO\STC_0008_frame140.jpg;1
\cervidae\deer_CaltechCameraTrap\59c31a86-23d2-11e8-a6a3-ec086b02610b.jpg;1
\ave\ave_Soraya_Padilla_Alumno_1_TH\STC_0052_frame110.jpg;1
\cervidae\ciervo_PNC_2014_ISAAC\c12290IMAG0043.JPG;1
\jabali\WILDBOAR_ZOO_5_6_7_9\41_20210218 (288) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0798.JPG;0
\micromamiferos\spiny_rat_MissouriCameraTrap\SEQ90549_IMG_0006.JPG;1
\cervidae\ciervo_PNM_2012_ME\d10516IM000582.JPG;1
\zorro\Zorro_Pepe_IREC\Zorro_Pepe_Irec_ME\IMAG0138_(2).JPG;1
\cervidae\deer_CaltechCameraTrap\59c99f24-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\vacia_javi_2_JC\27_20201023 (8321).JPG;0
\vaca\COW_ZOO_1_4\21_20201025 (3531).JPG;1
\lince\Lince_a_Linces2_Leo_JC\lince50 (179).JPG;1
\humanovehiculo\HUMANORVEHICLE_ZOO_1_4\1_20210115 (4).JPG;1
\vacia\vacia_alumno_1_AM_2\22_20201022 (55).JPG;0
\cervidae\ciervo_PNC_2014_ISAAC\c12431IMAG0182.JPG;1
\ave\shearwater_IslandConservationCameraTraps\chile_piedra012013_31122012234749.jpg;1
\humanovehiculo\humanovehiculo_ss\21_20201025 (6265).JPG;1
\humanovehiculo\humanovehiculo_PNM_2013-I_ME\e4942IMAG0017.JPG;1
\micromamiferos\micromamifero_WellingtonCameraTraps_SS\270716044046009as132.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\2_20210219 (4517) (2021_04_15 06_16_22 UTC).JPG;1
\garduna\garduna_PNM_2012_ME\d4231IM000509.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\18_20210115 (2165).JPG;1
\lince\Lince_b_Linces2_Leo_JC\lince228 (131).jpg;1
\jabali\jabali_vacías_humanos_PNC_2012_ME\a6292IM000066.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\5_20210219 (1099) (2021_04_15 06_16_22 UTC).JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\2803150444120237S061.JPG;1
\zorro\zorro_alumno_1_AM_2\34_20201024 (5197).JPG;1
\micromamiferos\micromamifero_WellingtonCameraTraps_SS\140416221344030bs341.JPG;1
\ave\rooster_IslandConservationCameraTraps\palau_cam13a12132018_20180913_101954_rcnx0365.jpg;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG1294.JPG;0
\caballo\HORSE_ZOO_5_6_7_9\46_20210618 (360).JPG;1
\leporido\2_conejo_Paco_Carro_JC\PICT1293.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\24_20201218 (1565).JPG;1
\vacia\empty_IslandConservationCameraTraps\micronesia_cam04_cam04june2019_20190627065503_rcnx1130.jpg;0
\vacia\empty_IslandConservationCameraTraps\micronesia_cam04_cam04june2019_20190701040503_rcnx2314.jpg;0
\lince\Lince_a_Linces2_Leo_JC\lince94 (108).JPG;1
\lince\Lince_b_Linces2_Leo_JC\lince149 (37).JPG;1
\gato_domestico\Domestic cat_mammalWeb\47751.jpg;1
\vaca\COW_ZOO_5_6_7_9\46_20210618 (838).JPG;1
\vaca\COW_ZOO_1_4\15_20201117 (1287).JPG;1
\vacia\empty_caltechCameraTraps\59eaba89-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150707_124704_img_1431.jpg;0
\jabali\WILDBOAR_ZOO_1_4\11_20210114 (535).JPG;1
\zorro\Zorro_PNC_2014_JC\c29773IM000126.JPG;1
\caballo\HORSE_ZOO_1_4\2_20201117 (515).JPG;1
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (1707).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\9_20210418 (1375).JPG;0
\gato_domestico\Domestic cat_mammalWeb\32485.jpg;1
\zorro\fox_CaltechCameraTrap_ME\58693432-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\15_20210117 (9302).JPG;0
\jabali\WILDBOAR_ZOO_1_4\29_20201023 (899).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG2938.JPG;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (8528).JPG;0
\perro\perro_Paco_Carro_camarasliron_4_2_PASADAS_POR_LA_RED_JC\PICT0062.JPG;1
\ave\bird_CaltechCameraTrap\591678ae-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (12627).JPG;0
\zorro\zorro_Leo_Otra_fauna_PASADA_POR_LA_RED_JC\Otrafauna (205).JPG;1
