file_name;label
\cervidae\ciervo_vacías_humanos_PNC_2012_ME\a17857IM000060.JPG;animal
\cervidae\ciervo_PNC_2014_ISAAC\c11343IMAG0102.JPG;animal
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a30581IM000133.JPG;vacia
\vacia\empty_SnapshotMountainZebra\MTZ_S1_G04_R3_IMAG1197.JPG;vacia
\ave\bird_CaltechCameraTrap\5938c115-23d2-11e8-a6a3-ec086b02610b.jpg;animal
\zorro\zorro_Leo_Otra_fauna_PASADA_POR_LA_RED_JC\Otrafauna (369).JPG;animal
\ave\ave_ave_WellingtonCameraTraps_SS\020816131114011bs106.JPG;animal
\cervidae\deer_CaltechCameraTrap\59641fdc-23d2-11e8-a6a3-ec086b02610b.jpg;animal
\vacia\vacia_Soraya_Padilla_Alumno_1_TH\DSCF0057_frame250.jpg;vacia
\vacia\empty_caltechCameraTraps\59a7bc3e-23d2-11e8-a6a3-ec086b02610b.jpg;vacia
\ave\white-winged_dove_IslandConservationCameraTraps\dominicanrepublic_cam1226junio2015_20150607_091207_img_0537.jpg;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\21_20210418 (3870).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\puertorico_26_20150602_150436_ek002526.jpg;vacia
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (5440).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_075712_img_1354.jpg;vacia
\vacia\vacio_Saul Martin_FRAMES_SIN_REPETIDOS_REVISADOS_DIEGO\IMAG0023_frame520.jpg;vacia
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (11460).JPG;vacia
\vacia\vacia_alumno_2_2_TH_JC\27_20201023 (7407).JPG;vacia
\lince\Lince_b_Linces2_Leo_JC\lince133 (135).JPG;animal
\jabali\Jabali_ME_rev_1_donana\7_20201025 (264).JPG;animal
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150506_062528_img_3354.jpg;vacia
\cervidae\ciervo_Javi_3_JC\30_20201021 (106).JPG;animal
\humanovehiculo\humanovehiculo_PNC_2013-O_RED_ISAAC\b14502IM000002.JPG;animal
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (16340).JPG;vacia
\vacia\Nothing_mammalWeb\91996.jpg;vacia
\micromamiferos\rodent_CaltechCameraTrap_JC\Roedor_ rodent_CaltechCameraTrap_JC\596736f4-23d2-11e8-a6a3-ec086b02610b.jpg;animal
\micromamiferos\micromamiferos_Paco_Carro_JC\IMG_0566.JPG;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\31_20210615 (966).JPG;vacia
\leporido\conejo_Paco_Carro_JC\PICT2319.JPG;animal
\leporido\CONEJO_PNM_2013-I_ISAAC\e5323IMAG0086.JPG;animal
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130815_050645_sunp2594.jpg;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\46_20210418 (212).JPG;vacia
\vacia\empty_SnapshotKaroo\KAR_S1_E02_R1_IMAG0368.JPG;vacia
\vacia\empty_SnapshotKaroo\KAR_S1_C02_R1_IMAG1199.JPG;vacia
\ave\raven_IslandConservationCameraTraps\dominicanrepublic_cam11801agosto2017_20170705_125039_img_0085.jpg;animal
\vacia\empty_caltechCameraTraps\599293f5-23d2-11e8-a6a3-ec086b02610b.jpg;vacia
\cervidae\cervido_simone_2\34_20201024 (5462).JPG;animal
\zorro\REDFOX_ZOO_5_6_7_9\32_20210615 (9118).JPG;animal
\cervidae\2_ciervo_Javi_3_JC\28_20201019 (2320).JPG;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\31_20210318 (758).JPG;vacia
\ave\aves_ME_CASA\IMG_0345.JPG;animal
\jabali\WILDBOAR_ZOO_5_6_7_9\41_20210218 (85) (2021_04_15 06_16_22 UTC).JPG;animal
\meloncillo\Meloncillo_PEPE_IREC_JC\IMAG0051.JPG;animal
\cervidae\ciervo_PNC_2013-I_RED_ME\1578IM000131.JPG;animal
\zorro\ZORRO_PNM_2012_ISAAC\d15149IM000079.JPG;animal
\zorro\zorro_PNM_2012_ISAAC\d10217IM000265.JPG;animal
\cervidae\ciervo_alumno_2_2_TH_JC\26_20201020 (1752).JPG;animal
\micromamiferos\micromamifero_WellingtonCameraTraps_SS\160416210636046c9481.JPG;animal
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\37_20201116 (13142).JPG;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (23670).JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (16018).JPG;vacia
\vaca\COW_ZOO_1_4\6_20201116 (2587).JPG;animal
\cervidae\ciervo_PNC_2013-I_RED_ME\6087IM000149.JPG;animal
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (739).JPG;animal
\ave\bird_CaltechCameraTrap\586fdbac-23d2-11e8-a6a3-ec086b02610b.jpg;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\20_20210417 (14611).JPG;vacia
\vacia\vacias_PNC_2014_ISAAC\c12675IMAG0197.JPG;vacia
\cervidae\Ciervo_PNC_2012_JC\a14483IM000418.JPG;animal
\lince\Lince_a_Linces2_Leo_JC\lince102 (105).JPG;animal
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (23804).JPG;vacia
\vacia\empty_caltechCameraTraps\59b7a640-23d2-11e8-a6a3-ec086b02610b.jpg;vacia
\cervidae\3_ciervo_Javi_3_JC\21_20201025 (2682).JPG;animal
\ave\raven_IslandConservationCameraTraps\dominicanrepublic_cam2416marzo2016_20160226_080448_img_0033.jpg;animal
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130821_043710_sunp3952.jpg;vacia
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (648).JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1949).JPG;vacia
