file_name;label
\ave\Bird_ena24\18.jpg;1
\caballo\caballos_alumno_AM\caballos_alumno_AM\2_20201215 (4017).JPG;1
\vaca\COW_ZOO_1_4\21_20201217 (1833).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (1946).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1626junio2015_20150622_101330_img_0049.jpg;0
\cervidae\deer_CaltechCameraTrap\5a26377f-23d2-11e8-a6a3-ec086b02610b.jpg;1
\lince\Lince_b_Linces2_Leo_JC\lince188 (1).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\2_20201215 (9699).JPG;1
\vacia\empty_caltechCameraTraps\5a2639e2-23d2-11e8-a6a3-ec086b02610b.jpg;0
\meloncillo\Meloncillo_PEPE_IREC_JC\IMAG1943.JPG;1
\gato_domestico\gato_WellingtonCameraTraps_SS\1904150004160424S231.JPG;1
\cervidae\Ciervo_PNC_2014_JC\c10359IM000016.JPG;1
\zorro\zorro_PNC_2013-I_RED_ME\7450IM000026.JPG;1
\caballo\HORSE_ZOO_1_4\15_20210117 (1315).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0527septiembre2015_20130729_102413_sunp0088.jpg;0
\cervidae\Ciervo_alumno_2_AM_JC\Cerela (10)_frame140.jpg;1
\cervidae\cervidae_WellingtonCameraTraps_SS\230316150458024as071.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (2284).JPG;0
\vacia\empty_caltechCameraTraps\598307b5-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0317abril2015_20130727_162812_sunp0048.jpg;0
\vacia\vacia_alumno_1_TH\IMAG0013_frame040.jpg;0
\vacia\vacia_alumno_2_AM_JC\STC_0535_frame200.jpg;0
\humanovehiculo\humano_vehiculo_PNM_2013-O_ME\f4210IM000280.JPG;1
\cervidae\ciervo_PNM_2012_ME\d15427IM000062.JPG;1
\cervidae\cervidae_alumno_2_TH\34_20201024 (4041).JPG;1
