file_name;label
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\20_20201024 (754).JPG;cervidae
\leporido\conejo_WellingtonCameraTraps_SS\190816090628040bs392.JPG;leporido
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG0874.JPG;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\37_20210319 (943).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam11518mayo2017a_20170121_124648_img_0222.jpg;vacia
\cervidae\2_cervidae_alumno_2_TH\37_20201024 (10871).JPG;cervidae
\gato_domestico\cat_CaltechCameraTrap\5910498b-23d2-11e8-a6a3-ec086b02610b.jpg;gato_domestico
\humanovehiculo\humanovehiculo_vacías_humanos_PNC_2012_ME\a33333IMAG0005.JPG;humanovehiculo
\zorro\zorro_PNC_2013-O_RED_ISAAC\b13685IM000102.JPG;zorro
\vacia\vacia_Paco_Carro_JC\IMG_0412.JPG;vacia
\vaca\COW_ZOO_1_4\21_20201217 (759).JPG;vaca
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b16571IM000173.JPG;cervidae
\gato_domestico\cat_CaltechCameraTrap\5989423f-23d2-11e8-a6a3-ec086b02610b.jpg;gato_domestico
\cervidae\ciervo_PNM_2013-O_ISAAC\f29507IMAG1091.JPG;cervidae
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b14186IM000437.JPG;cervidae
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam09_cam09june2019_20190622171303_rcnx0681.jpg;micromamiferos
\vacia\vacia_Paco_Carro_JC\IMG_1082.JPG;vacia
\meloncillo\EGYPTIANMONGOOSE_ZOO_1_4\36_20210115 (1167).JPG;meloncillo
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (20503).JPG;vacia
\dudosa\dudosa_WellingtonCameraTraps_SS\030716030730038cs521.JPG;dudosa
\jabali\WILDBOAR_ZOO_1_4\24_20201019 (1274).JPG;jabali
\zorro\fox_CaltechCameraTrap_ME\58f5afdf-23d2-11e8-a6a3-ec086b02610b.jpg;zorro
\vaca\COW_ZOO_1_4\2_20201215 (4280).JPG;vaca
\humanovehiculo\HUMANORVEHICLE_ZOO_5_6_7_9\24_20210318 (17409).JPG;humanovehiculo
\zorro\zorro_PNC_2013-I_RED_ME\4600IM000040.JPG;zorro
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\28_20210318 (15919).JPG;cervidae
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\585a64b0-23d2-11e8-a6a3-ec086b02610b.jpg;humanovehiculo
\cervidae\ciervo_PNM_2013-I_ISAAC\e1395IMAG0092.JPG;cervidae
\vaca\COW_ZOO_5_6_7_9\21_20200113 (506) (2021_04_15 06_16_22 UTC).JPG;vaca
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (16057).JPG;vacia
\cervidae\3_ciervo_simone_2\37_20201024 (1321).JPG;cervidae
\ave\ave_ave_WellingtonCameraTraps_SS\10111504330603249703.JPG;ave
\vaca\COW_ZOO_5_6_7_9\39_20210417 (1878).JPG;vaca
\cervidae\2_cervidae_alumno_2_TH\21_20201025 (466).JPG;cervidae
\leporido\conejo_Paco_Carro_JC\PICT1961.JPG;leporido
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210319 (3037).JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\4_20201220 (1702).JPG;dudosa
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (1895).JPG;cervidae
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (11723).JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\28_20201019 (1609).JPG;dudosa
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (8482).JPG;vacia
\vaca\cow_CaltechCameraTrap\590a0e10-23d2-11e8-a6a3-ec086b02610b.jpg;vaca
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (5750).JPG;cervidae
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b5617IM000324.JPG;cervidae
\vacia\vacias_PNC_2014_ISAAC\c4462IM000004.JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1464).JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_5_6_7_9\22_20210219 (1190) (2021_04_15 06_16_22 UTC).JPG;dudosa
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210418 (4768).JPG;vacia
\ave\ave_ave_WellingtonCameraTraps_SS\190716113950002cs143.JPG;ave
\cervidae\deer_CaltechCameraTrap\59830837-23d2-11e8-a6a3-ec086b02610b.jpg;cervidae
\dudosa\UNRECOGNIZABLE_ZOO_1_4\17_20210114 (1585).JPG;dudosa
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (6433).JPG;vacia
\cervidae\ciervo_PNM_2013-O_ISAAC\f5278IM000188.JPG;cervidae
\vacia\NOANIMAL_ZOO_1_4\6_20201116 (4653).JPG;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\32_20210615 (5982).JPG;vacia
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (3881).JPG;cervidae
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\24_20210115 (603).JPG;cervidae
\lince\linces_Linces2_Leo_JC\2_Lince_Linces2_Leo_JC\Lince57 (260).JPG;lince
\ave\ave_ave_WellingtonCameraTraps_SS\020216075614031b9963.JPG;ave
\humanovehiculo\car_CaltechCameraTrap_ME\vehiculo\59260e79-23d2-11e8-a6a3-ec086b02610b.jpg;humanovehiculo
\vacia\vacia_alumno_1_AM\40_20201024 (321).JPG;vacia
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\15_20210219 (6693) (2021_04_15 06_16_22 UTC).JPG;cervidae
\dudosa\UNRECOGNIZABLE_ZOO_5_6_7_9\41_20210418 (4460).JPG;dudosa
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a53076IM000436.JPG;vacia
\zorro\REDFOX_ZOO_5_6_7_9\48_20210418 (396).JPG;zorro
\vacia\NOANIMAL_ZOO_1_4\4_20210117 (2889).JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\34_20201024 (3702).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1825septiembre2015_20150725_121702_img_0030.jpg;vacia
\ave\ave_alumno_1_TH\Ave (12)_frame050.jpg;ave
\caballo\HORSE_ZOO_1_4\15_20210117 (1546).JPG;caballo
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\2_20210319 (852).JPG;cervidae
\gato_domestico\gato_WellingtonCameraTraps_SS\110916072734043cs091.JPG;gato_domestico
\jabali\jabali_PNC_2014_ISAAC\c11328IMAG0468.JPG;jabali
\ave\ave_PNC_2014_manuel\c24863IMAG0100.JPG;ave
\vacia\empty_IslandConservationCameraTraps\ecuador1_ic1611_20150101_000005_img_2496.jpg;vacia
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (8646).JPG;vacia
\dudosa\dudosa_Soraya_Padilla_Alumno_1_TH\STC_0031_frame110.jpg;dudosa
\ave\shearwater_IslandConservationCameraTraps\chile_vaqueria2013_1512201233600.jpg;ave
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1571).JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_5_6_7_9\24_20210219 (2007) (2021_04_15 06_16_22 UTC).JPG;dudosa
\dudosa\dudosa_PNM_2013-O_ME\f29088IMAG0676.JPG;dudosa
\cervidae\ciervo_PNC_2013-I_RED_ME\965IM000096.JPG;cervidae
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150713_093738_img_2111.jpg;vacia
\vacia\vacia_alumno_1_TH\Nada (9)_frame090.jpg;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\6_20201116 (903).JPG;dudosa
\ave\2_ave_Soraya_Padilla_Alumno_1_TH\IMAG0184_frame180.jpg;ave
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0828.JPG;vacia
\humanovehiculo\HUMANORVEHICLE_ZOO_5_6_7_9\11_20210318 (2467).JPG;humanovehiculo
\jabali\WILDBOAR_ZOO_1_4\37_20201116 (14513).JPG;jabali
\cervidae\ciervo_PNC_2014_ISAAC\c21800IM000172.JPG;cervidae
\ave\bird_CaltechCameraTrap\59751385-23d2-11e8-a6a3-ec086b02610b.jpg;ave
\lince\Lince_a_Linces2_Leo_JC\lince70 (60).JPG;lince
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150626_121726_img_0275.jpg;vacia
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0251.JPG;vacia
\caballo\HORSE_ZOO_1_4\38_20201117 (1361).JPG;caballo
\leporido\rabbit_CaltechCameraTrap_ME\588c138f-23d2-11e8-a6a3-ec086b02610b.jpg;leporido
\jabali\WILDBOAR_ZOO_1_4\29_20201023 (549).JPG;jabali
\zorro\ZORRO_PNM_2013-I_ISAAC\e2703IM000045.JPG;zorro
\vacia\empty_SnapshotMountainZebra\MTZ_S1_F04_R3_IMAG3720.JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\24_20201019 (2159).JPG;dudosa
\vacia\empty_caltechCameraTraps\59c31a88-23d2-11e8-a6a3-ec086b02610b.jpg;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130822_074118_sunp4513.jpg;vacia
\humanovehiculo\humanovehiculo_Caltech\59910491-23d2-11e8-a6a3-ec086b02610b.jpg;humanovehiculo
\vaca\COW_ZOO_5_6_7_9\17_20210418 (274).JPG;vaca
\vacia\NOANIMAL_ZOO_5_6_7_9\15_20210219 (6447) (2021_04_15 06_16_22 UTC).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0727abril2016_20160424_073123_sunp0009.jpg;vacia
\ave\ave_PNC_2013-O_RED_ISAAC\b4507IMAG0385.JPG;ave
\dudosa\UNRECOGNIZABLE_ZOO_1_4\37_20201116 (2686).JPG;dudosa
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_114422_img_2651.jpg;vacia
\vacia\vacia_alumno_1_TH\Nada (44)_frame070.jpg;vacia
\vacia\vacia_Paco_Carro_JC\MDGC0533.JPG;vacia
\zorro\REDFOX_ZOO_5_6_7_9\19_20210319 (275).JPG;zorro
\vacia\empty_SnapshotMountainZebra\MTZ_S1_B05_R3_IMAG0739.JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (5485).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_133320_img_3172.jpg;vacia
\jabali\jabali_javi_JC\28_20201019 (1638).JPG;jabali
\vacia\NOANIMAL_ZOO_5_6_7_9\32_20210318 (12941).JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (14995).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\ecuador1_ic1611_20150101_000005_img_1112.jpg;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\34_20201215 (900).JPG;dudosa
\vacia\vacia_WellingtonCameraTraps_SS\230816043400004a5755.JPG;vacia
\gato_domestico\cat_IslandConservationCameraTraps\dominicanrepublic_cam1126junio2015_20150613_001939_img_0013.jpg;gato_domestico
\vacia\empty_IslandConservationCameraTraps\ecuador1_ic1611_20150101_000004_img_1111.jpg;vacia
\vacia\empty_caltechCameraTraps\59ef8cae-23d2-11e8-a6a3-ec086b02610b.jpg;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\15_20201117 (7501).JPG;dudosa
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (21193).JPG;vacia
\jabali\WILDBOAR_ZOO_1_4\20_20210115 (943).JPG;jabali
\vacia\vacia_Soraya_Padilla_Alumno_1_TH\STC_0100_frame100.jpg;vacia
\gato_domestico\gato_WellingtonCameraTraps_SS\01101518532402245754.JPG;gato_domestico
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (452).JPG;cervidae
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (8292).JPG;vacia
\micromamiferos\rat_IslandConservationCameraTraps\puertorico_7a_20141111_045641_img_0020.jpg;micromamiferos
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG2782.JPG;vacia
\leporido\conejo_WellingtonCameraTraps_SS\15111506251413959712.JPG;leporido
\leporido\conejo_Paco_Carro_JC\PICT0535 (2).JPG;leporido
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (4374).JPG;vacia
\caballo\HORSE_ZOO_1_4\28_20201117 (665).JPG;caballo
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (18343).JPG;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\32_20210417 (3317).JPG;vacia
\vacia\Nothing_mammalWeb\49342.jpg;vacia
\lince\Lince_a_Linces2_Leo_JC\lince90 (185).JPG;lince
\jabali\jabali_PNC_2014_manuel\c15929IM000105.JPG;jabali
\cervidae\gamo_Javi_3_JC\21_20201025 (336).JPG;cervidae
\vacia\NOANIMAL_ZOO_5_6_7_9\5_20210618 (67).JPG;vacia
\jabali\WILDBOAR_ZOO_1_4\4_20210117 (3025).JPG;jabali
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R1_IMAG0294.JPG;vacia
\vacia\vacias_PNM_2012_ME\d14980FILE0014.JPG;vacia
\leporido\LEPORIDRABBITORHARE_ZOO_5_6_7_9\2_20210319 (1162).JPG;leporido
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\19_20210618 (384).JPG;cervidae
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (13281).JPG;vacia
\zorro\zorro_PNC_2014_manuel\c5670IM000078.JPG;zorro
\vacia\Nothing_mammalWeb\89713.jpg;vacia
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (2906).JPG;vacia
\zorro\Zorro_PNC_2014_JC\c25163IM000137.JPG;zorro
\vacia\NOANIMAL_ZOO_1_4\37_20201116 (12854).JPG;vacia
\jabali\WILDBOAR_ZOO_1_4\37_20201024 (401).JPG;jabali
\vacia\vacia_alumno_AM_2\30_20201021 (1233).JPG;vacia
\jabali\WILDBOAR_ZOO_5_6_7_9\11_20210318 (678).JPG;jabali
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (19706).JPG;vacia
\micromamiferos\micromamiferos_fotosManuelEmilio20200912\IMG_0117.JPG;micromamiferos
\vaca\COW_ZOO_5_6_7_9\21_20210418 (1817).JPG;vaca
\vacia\NOANIMAL_ZOO_1_4\10_20201117 (3160).JPG;vacia
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1096).JPG;vacia
\cervidae\2_ciervo_Javi_3_JC\21_20201025 (1936).JPG;cervidae
\jabali\jabali_PNC_2013-I_RED_ME\3435IM000113.JPG;jabali
\leporido\rabbit_CaltechCameraTrap_ME\59973fff-23d2-11e8-a6a3-ec086b02610b.jpg;leporido
\vaca\cow_CaltechCameraTrap\588a6590-23d2-11e8-a6a3-ec086b02610b.jpg;vaca
\zorro\zorro_vacías_humanos_PNC_2012_ME\a47471IM000098.JPG;zorro
\lince\linces_fecha_Linces2_Leo_JC\2_Lince_flecha_Linces2_Leo_JC\lince176 (130).JPG;lince
\gineta\gineta_PNC_2013-I_ISAAC\1166IMAG0195.JPG;gineta
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a34989IMAG0105.JPG;vacia
\leporido\conejo_Paco_Carro_JC\PICT0540 (2).JPG;leporido
\cervidae\CIERVO_PNM_2013-I_ISAAC\e1382IMAG0079.JPG;cervidae
\vacia\NOANIMAL_ZOO_1_4\37_20210115 (542).JPG;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\20_20210319 (7416).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130821_011740_sunp3719.jpg;vacia
\vacia\vacia_alumno_AM_2\26_20201020 (2367).JPG;vacia
\vaca\COW_ZOO_5_6_7_9\17_20210418 (232).JPG;vaca
\vacia\vacia_alumno_AM_2\27_20201023 (3178).JPG;vacia
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG1275.JPG;vacia
\gineta\GINETA_PNM_2013-I_ISAAC\e531IM000035.JPG;gineta
\zorro\zorro_PNM_2013-O_ISAAC\f9915IM000190.JPG;zorro
\lince\linces_fecha_Linces2_Leo_JC\2_Lince_flecha_Linces2_Leo_JC\Lince69 (15).JPG;lince
\cervidae\deer_CaltechCameraTrap\58d7a0fd-23d2-11e8-a6a3-ec086b02610b.jpg;cervidae
\cervidae\ciervo_Javi_3_JC\21_20201025 (2219).JPG;cervidae
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E05_R1_IMAG0596.JPG;vacia
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (21060).JPG;vacia
\lince\Lince_b_Linces2_Leo_JC\lince228 (590).JPG;lince
\dudosa\UNRECOGNIZABLE_ZOO_1_4\15_20210117 (8848).JPG;dudosa
\vacia\NOANIMAL_ZOO_5_6_7_9\28_20210219 (897) (2021_04_15 06_16_22 UTC).JPG;vacia
\cervidae\gamo_Leo_Otra_fauna_PASADA_POR_LA_RED_JC\Otrafauna (552).JPG;cervidae
\zorro\fox_CaltechCameraTrap_ME\58693432-23d2-11e8-a6a3-ec086b02610b.jpg;zorro
\perro\Domestic dog_mammalWeb\30259.jpg;perro
\vaca\COW_ZOO_5_6_7_9\21_20210418 (1024).JPG;vaca
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (25940).JPG;vacia
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0526junio2015_20150622_160753_sunp2336.jpg;vacia
\cervidae\2_ciervo_simone_2\37_20201024 (10758).JPG;cervidae
\leporido\rabbit_IslandConservationCameraTraps\chile_frances012013_1401201395339.jpg;leporido
\cervidae\deer_CaltechCameraTrap\5971f917-23d2-11e8-a6a3-ec086b02610b.jpg;cervidae
\meloncillo\Meloncillo_PEPE_IREC_JC\IMAG0234.JPG;meloncillo
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (8704).JPG;vacia
\dudosa\UNRECOGNIZABLE_ZOO_1_4\28_20201218 (15367).JPG;dudosa
