file_name;label
\cervidae\cervidae_alumno_2_TH\29_20201023 (157).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\41_20210218 (206) (2021_04_15 06_16_22 UTC).JPG;1
\cervidae\ciervo_PNM_2012_ME\d14266IMAG0050.JPG;1
\vacia\empty_caltechCameraTraps\59751691-23d2-11e8-a6a3-ec086b02610b.jpg;0
\zorro\Zorro_Pepe_IREC\Zorro_Pepe_Irec_ME\IMAG0165_(3).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130822_050006_sunp4323.jpg;0
\jabali\jabali_Leo_Otra_fauna_PASADA_POR_LA_RED_JC\Otrafauna (1004).JPG;1
\vacia\vacias_PNC_2014_ISAAC\c1238IM000219.JPG;0
\cervidae\2_Ciervo_PNC_2013-O_ME\b11964IMAG0407.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210408 (325).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\3_20210417 (392).JPG;1
\jabali\jabali_vacías_humanos_PNC_2012_ME\a14021IM000224.JPG;1
\ave\Blackbird_mammalWeb\126341.jpg;1
\cervidae\ciervo_PNM_2013-O_ISAAC\f5003IM000101.JPG;1
\humanovehiculo\humanovehiculo_PNC_2013-O_RED_ISAAC\b2262IMAG0329.JPG;1
\gato_domestico\cat_IslandConservationCameraTraps\palau_cam04a12132018_20180919_084931_rcnx1404.jpg;1
\leporido\rabbit_IslandConservationCameraTraps\chile_piedra012013_2104201372241.jpg;1
\ave\ave_ave_WellingtonCameraTraps_SS\181016104804002cs381.JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG1713.JPG;0
\zorro\zorro_PNC_2012_JC\a29409IM000128.JPG;1
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b355IM000134.JPG;1
\zorro\zorro_PNC_2014_ISAAC\c21211IM000032.JPG;1
\jabali\WILDBOAR_ZOO_5_6_7_9\20_20210219 (2902) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2015abril2015_20150326_160828_img_1311.jpg;0
\jabali\WILDBOAR_ZOO_5_6_7_9\1_20210319 (7).JPG;1
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (12601).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0918.JPG;0
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam06_cam06june2019_pig_20190629191817_11350.jpg;1
\jabali\jabali_javi_JC\24_20201019 (8703).JPG;1
\humanovehiculo\humanovehiculo_Caltech\59d8eb2b-23d2-11e8-a6a3-ec086b02610b.jpg;1
\cervidae\ciervo_simone_2\37_20201024 (1156).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\1_20210319 (122).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\24_20201019 (9028).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (7618).JPG;0
\jabali\WILDBOAR_ZOO_1_4\31_20210115 (136).JPG;1
\vacia\vacia_Soraya_Padilla_Alumno_1_TH\DSCF0057_frame120.jpg;0
\lince\Lince_a_Linces2_Leo_JC\lince77 (175).JPG;1
\vacia\vacia_Paco_Carro_JC\01130077.JPG;0
\leporido\conejo_Paco_Carro_JC\PICT0618.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\18_unknowndate (1507).JPG;1
\cervidae\ciervo_PNC_2012_ISAAC\a13670IM000096.JPG;1
\leporido\rabbit_IslandConservationCameraTraps\chile_frances012013_21122012160550.jpg;1
\leporido\conejo_WellingtonCameraTraps_SS\020516072616002cs143.JPG;1
\cervidae\ciervo_PNM_2012_ME\d1539IM000156.JPG;1
\perro\dog_caltechCameraTraps\5965aab4-23d2-11e8-a6a3-ec086b02610b.jpg;1
\cervidae\cervidae_ME_rev_3_donana\26_20201020 (4160).JPG;1
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (10848).JPG;0
\humanovehiculo\HUMANORVEHICLE_ZOO_5_6_7_9\19_20210219 (34) (2021_04_15 06_16_22 UTC).JPG;1
\zorro\Zorro_PNC_2014_JC\c5731IM000020.JPG;1
\vacia\SnampshotEnonkishu\ENO_S1_D06_R1_IMAG0531.JPG;0
\leporido\rabbit_IslandConservationCameraTraps\chile_frances022013_27042013164910.jpg;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_133320_img_3172.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R3_IMAG1046.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (21714).JPG;0
\vacia\NOANIMAL_ZOO_1_4\21_20201025 (552).JPG;0
\caballo\HORSE_ZOO_1_4\2_20210115 (10065).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\37_20210220 (107) (2021_04_15 06_16_22 UTC).JPG;1
\vaca\COW_ZOO_5_6_7_9\21_20210418 (2819).JPG;1
\cervidae\ciervo_PNC_2014_ISAAC\c12507IMAG0052.JPG;1
\jabali\jabali_PNC_2014_manuel\c18053IMAG0104.JPG;1
