file_name;label
\vacia\SnampshotEnonkishu\ENO_S1_D06_R1_IMAG5237.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (6876).JPG;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (1643).JPG;0
\humanovehiculo\humano_vehiculo_PNC_2014_ISAAC\c12199IMAG0129.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam11618mayo2017_20170410_092515_img_0069.jpg;0
\vacia\vacia_alumno_AM_2\25_20201024 (312).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\20_20210618 (3959).JPG;0
\vacia\vacia_javi_2_JC\27_20201023 (4595).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_130939_img_3077.jpg;0
\leporido\Conejo_PNC_2014_JC\c8663IM000121.JPG;1
\vacia\vacia_alumno_2_2_TH_JC\27_20201023 (5918).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R3_IMAG2525.JPG;0
\vacia\NOANIMAL_ZOO_1_4\28_20201019 (329).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (25294).JPG;0
\vacia\empty_IslandConservationCameraTraps\ecuador1_cam1612_20150209_051159_img_1446.jpg;0
\ave\OTHERSPECIES_ZOO_5_6_7_9\38_20210618 (1691).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG2029.JPG;0
\cervidae\2_Ciervo_Paco_Carro_camarasliron_4_2_PASADAS_POR_LA_RED_JC\PICT0080.JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\17_20201225 (61).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0926julio2015_20150630_185725_img_0015.jpg;0
\jabali\jabali_Paco_Carro_camarasliron_4_2_PASADAS_POR_LA_RED_JC\MDGC0675.JPG;1
\jabali\WILDBOAR_ZOO_5_6_7_9\20_20210219 (2902) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0865.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (7263).JPG;0
\vacia\vacias_PNC_2014_ISAAC\c11233IMAG0016.JPG;0
\vacia\vacias_PNM_2013-O_ISAAC\f7213IMAG0066.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG1583.JPG;0
