;version;loss_function;alpha;gamma;test_loss;test_accuracy;test_precision;test_recall;test_auc
0;v2.0;BinaryCrossentropy;-;-;0.1156227365136146;0.955902934074402;0.980050802230835;0.952750325202942;0.990951657295227
1;v2.2.0.0;BinaryFocalCrossentropy;0.25;1.0;0.0560919009149074;0.9568362236022948;0.97154039144516;0.9629760384559632;0.9915638566017152
2;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0293580461293458;0.9570695161819458;0.9725587964057922;0.9622707962989808;0.9916847348213196
3;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0154168307781219;0.9561362862586976;0.9755747318267822;0.9576869010925292;0.9918972253799438
4;v2.2.1.0;BinaryFocalCrossentropy;0.4;1.0;0.0559071190655231;0.9561362862586976;0.9688385128974916;0.9647390842437744;0.991773247718811
5;v2.2.1.1;BinaryFocalCrossentropy;0.4;2.0;0.0310094766318798;0.9540364146232604;0.9838650822639464;0.946050763130188;0.9916441440582277
6;v2.2.1.2;BinaryFocalCrossentropy;0.4;3.0;0.0163021236658096;0.9538030624389648;0.9599023461341858;0.970733404159546;0.991384983062744
7;v2.2.2.0;BinaryFocalCrossentropy;0.6;1.0;0.0577752105891704;0.9568362236022948;0.9807761907577516;0.9534555673599244;0.9912827014923096
8;v2.2.2.1;BinaryFocalCrossentropy;0.6;2.0;0.0304453428834676;0.9542697072029114;0.9680851101875304;0.962623417377472;0.9909295439720154
9;v2.2.2.2;BinaryFocalCrossentropy;0.6;3.0;0.0165555365383625;0.9552029967308044;0.9828341603279114;0.9488716721534728;0.9916989803314208
10;v2.2.3.0;BinaryFocalCrossentropy;0.75;1.0;0.0566652864217758;0.9554362893104552;0.9678103923797609;0.9647390842437744;0.9914438128471376
11;v2.2.3.1;BinaryFocalCrossentropy;0.75;2.0;0.0331895425915718;0.9507699608802797;0.9852125644683838;0.9397038221359252;0.991622805595398
12;v2.2.3.2;BinaryFocalCrossentropy;0.75;3.0;0.0159023944288492;0.955669641494751;0.9779624342918396;0.9545133709907532;0.9916156530380248
13;v2.3.0.0;SigmoidFocalCrossEntropy;0.25;1.0;0.0227668676525354;0.9491367340087892;0.9877049326896667;0.9347673058509828;0.9913988709449768
14;v2.3.0.1;SigmoidFocalCrossEntropy;0.25;2.0;0.0123486462980508;0.950070023536682;0.9902767539024352;0.933709442615509;0.9915637969970704
15;v2.3.0.2;SigmoidFocalCrossEntropy;0.25;3.0;0.0063749994151294;0.9496033787727356;0.9859050512313844;0.9372355341911316;0.9912065863609314
16;v2.3.1.0;SigmoidFocalCrossEntropy;0.4;1.0;0.0274041704833507;0.9563695788383484;0.9800652265548706;0.9534555673599244;0.9909666180610656
17;v2.3.1.1;SigmoidFocalCrossEntropy;0.4;2.0;0.0154120130464434;0.9561362862586976;0.9685066938400269;0.9650917053222656;0.9909417629241944
18;v2.3.1.2;SigmoidFocalCrossEntropy;0.4;3.0;0.0077182198874652;0.9531031250953674;0.982424020767212;0.946050763130188;0.9912591576576232
19;v2.3.2.0;SigmoidFocalCrossEntropy;0.6;1.0;0.0281338393688201;0.9561362862586976;0.9681754112243652;0.965444266796112;0.9915159940719604
20;v2.3.2.1;SigmoidFocalCrossEntropy;0.6;2.0;0.0151067189872264;0.9573028683662416;0.9718961119651794;0.9633286595344543;0.9912006855010986
21;v2.3.2.2;SigmoidFocalCrossEntropy;0.6;3.0;0.007851829752326;0.955669641494751;0.9668313264846802;0.9661495089530944;0.9912139177322388
22;v2.3.3.0;SigmoidFocalCrossEntropy;0.75;1.0;0.0244740489870309;0.944936990737915;0.9383007287979126;0.9813116788864136;0.9916192293167114
23;v2.3.3.1;SigmoidFocalCrossEntropy;0.75;2.0;0.0136928083375096;0.9521698355674744;0.957565188407898;0.970733404159546;0.9915244579315186
24;v2.3.3.2;SigmoidFocalCrossEntropy;0.75;3.0;0.0068872836418449;0.9521698355674744;0.9550328850746156;0.9735543131828308;0.9912773370742798
