file_name;label;binary_label;detector_label;subset
cervidae/CERVIDREDORFALLOWDEER_ZOO_1_4/20_20201024__754_.JPG;animal;1;1;train
leporido/conejo_WellingtonCameraTraps_SS/190816090628040bs392.JPG;animal;1;1;train
vacia/empty_SnapshotMountainZebra/MTZ_S1_D07_R1_IMAG0874.JPG;vacia;0;1;train
vacia/NOANIMAL_ZOO_5_6_7_9/37_20210319__943_.JPG;vacia;0;0;test
vacia/empty_IslandConservationCameraTraps/dominicanrepublic_cam11518mayo2017a_20170121_124648_img_0222.jpg;vacia;0;1;train
cervidae/2_cervidae_alumno_2_TH/37_20201024__10871_.JPG;animal;1;1;train
gato_domestico/cat_CaltechCameraTrap/5910498b-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
humanovehiculo/humanovehiculo_vacias_humanos_PNC_2012_ME/a33333IMAG0005.JPG;animal;1;1;validation
zorro/zorro_PNC_2013-O_RED_ISAAC/b13685IM000102.JPG;animal;1;1;validation
vacia/vacia_Paco_Carro_JC/IMG_0412.JPG;vacia;0;0;validation
vaca/COW_ZOO_1_4/21_20201217__759_.JPG;animal;1;1;test
cervidae/ciervo_PNC_2013-O_RED_ISAAC/b16571IM000173.JPG;animal;1;1;train
gato_domestico/cat_CaltechCameraTrap/5989423f-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
cervidae/ciervo_PNM_2013-O_ISAAC/f29507IMAG1091.JPG;animal;1;1;test
cervidae/ciervo_PNC_2013-O_RED_ISAAC/b14186IM000437.JPG;animal;1;1;train
micromamiferos/rat_IslandConservationCameraTraps/micronesia_cam09_cam09june2019_20190622171303_rcnx0681.jpg;animal;1;1;test
vacia/vacia_Paco_Carro_JC/IMG_1082.JPG;vacia;0;0;train
meloncillo/EGYPTIANMONGOOSE_ZOO_1_4/36_20210115__1167_.JPG;animal;1;1;train
vacia/NOANIMAL_ZOO_5_6_7_9/2_20210417__20503_.JPG;vacia;0;1;train
jabali/WILDBOAR_ZOO_1_4/24_20201019__1274_.JPG;animal;1;1;test
zorro/fox_CaltechCameraTrap_ME/58f5afdf-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
vaca/COW_ZOO_1_4/2_20201215__4280_.JPG;animal;1;1;train
humanovehiculo/HUMANORVEHICLE_ZOO_5_6_7_9/24_20210318__17409_.JPG;animal;1;1;test
zorro/zorro_PNC_2013-I_RED_ME/4600IM000040.JPG;animal;1;1;train
cervidae/CERVIDREDORFALLOWDEER_ZOO_5_6_7_9/28_20210318__15919_.JPG;animal;1;1;validation
humanovehiculo/car_CaltechCameraTrap_ME/vehiculo/585a64b0-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
cervidae/ciervo_PNM_2013-I_ISAAC/e1395IMAG0092.JPG;animal;1;1;train
vaca/COW_ZOO_5_6_7_9/21_20200113__506___2021_04_15_06_16_22_UTC_.JPG;animal;1;1;validation
vacia/NOANIMAL_ZOO_5_6_7_9/2_20210618__16057_.JPG;vacia;0;0;train
cervidae/3_ciervo_simone_2/37_20201024__1321_.JPG;animal;1;1;train
ave/ave_ave_WellingtonCameraTraps_SS/10111504330603249703.JPG;animal;1;1;train
vaca/COW_ZOO_5_6_7_9/39_20210417__1878_.JPG;animal;1;1;test
cervidae/2_cervidae_alumno_2_TH/21_20201025__466_.JPG;animal;1;1;train
leporido/conejo_Paco_Carro_JC/PICT1961.JPG;animal;1;1;train
vacia/NOANIMAL_ZOO_5_6_7_9/36_20210319__3037_.JPG;vacia;0;0;validation
cervidae/CERVIDREDORFALLOWDEER_ZOO_1_4/21_20201025__1895_.JPG;animal;1;1;train
vacia/NOANIMAL_ZOO_1_4/26_20201020__11723_.JPG;vacia;0;0;train
vacia/NOANIMAL_ZOO_5_6_7_9/24_20210418__8482_.JPG;vacia;0;0;train
vaca/cow_CaltechCameraTrap/590a0e10-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
cervidae/CERVIDREDORFALLOWDEER_ZOO_1_4/21_20201025__5750_.JPG;animal;1;1;validation
cervidae/ciervo_PNC_2013-O_RED_ISAAC/b5617IM000324.JPG;animal;1;1;train
vacia/vacias_PNC_2014_ISAAC/c4462IM000004.JPG;vacia;0;0;train
vacia/NOANIMAL_ZOO_1_4/7_20210115__1464_.JPG;vacia;0;1;train
vacia/NOANIMAL_ZOO_5_6_7_9/49_20210418__4768_.JPG;vacia;0;0;train
ave/ave_ave_WellingtonCameraTraps_SS/190716113950002cs143.JPG;animal;1;1;validation
cervidae/deer_CaltechCameraTrap/59830837-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
vacia/NOANIMAL_ZOO_5_6_7_9/25_20210417__6433_.JPG;vacia;0;0;train
cervidae/ciervo_PNM_2013-O_ISAAC/f5278IM000188.JPG;animal;1;1;train
vacia/NOANIMAL_ZOO_1_4/6_20201116__4653_.JPG;vacia;0;0;train
vacia/NOANIMAL_ZOO_5_6_7_9/32_20210615__5982_.JPG;vacia;0;0;train
cervidae/CERVIDREDORFALLOWDEER_ZOO_1_4/21_20201025__3881_.JPG;animal;1;1;train
cervidae/CERVIDREDORFALLOWDEER_ZOO_1_4/24_20210115__603_.JPG;animal;1;1;train
lince/linces_Linces2_Leo_JC/2_Lince_Linces2_Leo_JC/Lince57__260_.JPG;animal;1;1;train
ave/ave_ave_WellingtonCameraTraps_SS/020216075614031b9963.JPG;animal;1;1;train
humanovehiculo/car_CaltechCameraTrap_ME/vehiculo/59260e79-23d2-11e8-a6a3-ec086b02610b.jpg;animal;1;1;train
vacia/vacia_alumno_1_AM/40_20201024__321_.JPG;vacia;0;0;train
cervidae/CERVIDREDORFALLOWDEER_ZOO_5_6_7_9/15_20210219__6693___2021_04_15_06_16_22_UTC_.JPG;animal;1;1;validation
vacia/vacias_1_de_2_PNC_2012_ISAAC/a53076IM000436.JPG;vacia;0;0;train
zorro/REDFOX_ZOO_5_6_7_9/48_20210418__396_.JPG;animal;1;1;test
